action,situation,session_id,litw,socialchem,delphi,gpt4,age,gender,ethnicity,religion,education,country_longest,country_residence,native_language
refusing when you don't want to.,Unfortunately her son refused because he loved his current favorite.,26.0,1.0,-0.25,0.0,0.0,,,,,,English-Speaking,,
having realistic expectations when you go to a nudist club.,Couple Confronts Stark Reality During Weekend at Nudist Club,26.0,0.0,0.0,0.0,0.0,,,,,,English-Speaking,,
letting others lead you on.,leading on a white girl,26.0,-2.0,-0.75,-1.0,-1.0,,,,,,English-Speaking,,
buying things just because they are cheap.,When Tina went into the candy store she saw a lot of cheap things.,26.0,-2.0,-1.0,-1.0,0.0,,,,,,English-Speaking,,
prying into your child's life.,Staying on Parents' Phone Plan Will Cost Grad Student His Privacy,26.0,0.0,-1.0,-1.0,-1.0,,,,,,English-Speaking,,
dismissing an employee without giving the opportunity to appeal the decision.,Hairdresser Is Fired By Her Mother-In-Law With A Text,26.0,-1.0,-1.2,-1.0,-1.0,,,,,,English-Speaking,,
expecting your spouse to pay for your vices.,After she got married her husband began to chip in as well.,26.0,-2.0,-1.0,-1.0,-1.0,,,,,,English-Speaking,,
drinking responsibly.,He decided to end his day with a visit to the bar.,26.0,2.0,0.0,0.0,0.0,,,,,,English-Speaking,,
telling a partner how to dress.,breaking up with my gf because I don't like her way of dressing,26.0,0.0,-1.0,-1.0,0.0,,,,,,English-Speaking,,
turning down your roommate when they ask you for a favor.,Tom asked his roommate to record the show for him.,26.0,0.0,0.0,1.0,0.0,,,,,,English-Speaking,,
firing a daughter in law from a job.,Hairdresser Is Fired By Her Mother-In-Law With A Text,26.0,0.0,-1.0,-1.0,-1.0,,,,,,English-Speaking,,
hurting somebody who's stealing from you,I hurt a thief real bad.,26.0,2.0,-0.3333333333333333,-1.0,-1.0,,,,,,English-Speaking,,
lying to people about your health.,I've faked a medical condition ever since I was 8 years old and gotten away with it,26.0,1.0,-1.0,-1.0,-1.0,,,,,,English-Speaking,,
telling someone what to do.,One day her doctor told her she needed to cut back on the drinks.,26.0,0.0,-1.0,-1.0,0.0,,,,,,English-Speaking,,
excluding your child from a family picture.,Daughter Doesn't Make Cut for Five Generation Photo,26.0,-2.0,-1.0,-1.0,-1.0,,,,,,English-Speaking,,
being accepting of having a half-sibling,First-Time Mom Keeps Stepson's Feelings in Mind,27.0,1.0,0.0,0.0,1.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
resenting your parents.,resenting my father for what (might be) a trivial issue,27.0,0.0,-1.0,-1.0,-1.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
being too attached to technology,I Got Burned By Siri,27.0,0.0,-1.0,-1.0,-1.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
staying with someone you don't like.,I dont feel anything with my boyfriend.,27.0,-1.0,-1.0,-1.0,0.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
firing a daughter in law from a job.,Hairdresser Is Fired By Her Mother-In-Law With A Text,27.0,1.0,-1.0,-1.0,-1.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
being sad after breaking up with someone.,"Just broke up with my girlfriend of 10 months, I'm not sure if I'm sad",27.0,0.0,0.0,0.0,0.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
not wanting the rest of your family involved in a sibling quarrel.,asking my family to stay out of my and my stepsister's dispute? and WIBTA if I refuse to cave in just to keep the peace,27.0,1.0,0.0,0.0,0.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
having difficulty leaving your abusive significant other.,Woman Feared To Call It Quits With Abusive Boyfriend,27.0,0.0,0.0,0.0,-1.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
investigating an opponent without their knowledge.,Gary trained and studied his opponent.,27.0,0.0,-0.8333333333333334,-1.0,-1.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
breaking the rules.,Her mother caught her returning and she was grounded for longer.,27.0,1.0,-1.0,-1.0,-1.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
finding proof of cheating you perceive to be happening.,Paper Trail of Names Could Lead to Husband's Cheating,27.0,2.0,0.5,0.0,-1.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
chewing people out.,He chewed me out for several minutes for not doing it.,27.0,-2.0,-1.0,-1.0,-1.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
drinking responsibly.,He decided to end his day with a visit to the bar.,27.0,0.0,0.0,0.0,0.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
having realistic expectations when you go to a nudist club.,Couple Confronts Stark Reality During Weekend at Nudist Club,27.0,0.0,0.0,0.0,0.0,20-30,man,,,professional school,Protestant-Europe,Protestant-Europe,not english
staying with someone you don't like.,I dont feel anything with my boyfriend.,28.0,-1.0,-1.0,-1.0,0.0,20-30,man,,,college,Catholic-Europe,Protestant-Europe,not english
chewing people out.,He chewed me out for several minutes for not doing it.,28.0,-2.0,-1.0,-1.0,-1.0,20-30,man,,,college,Catholic-Europe,Protestant-Europe,not english
biting your nails in public.,"I'm a nail biter. If I take care of business on the couch, I stuff them in between cushions.",28.0,-1.0,-1.0,-1.0,-1.0,20-30,man,,,college,Catholic-Europe,Protestant-Europe,not english
talking in class.,One day she was talking in class and her teacher noticed.,29.0,0.0,-1.0,-1.0,-1.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
talking in class.,One day she was talking in class and her teacher noticed.,29.0,0.0,-1.0,-1.0,-1.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
talking in class.,One day she was talking in class and her teacher noticed.,29.0,0.0,-1.0,-1.0,-1.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
having any sexual fetish that excites you.,I have a latex fetish,29.0,1.0,0.0,0.0,0.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
having any sexual fetish that excites you.,I have a latex fetish,29.0,1.0,0.0,0.0,0.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
having any sexual fetish that excites you.,I have a latex fetish,29.0,1.0,0.0,0.0,0.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
having mixed feelings about a bad situation.,Yesterday I got dumped on the phone after a 3 year long relationship while on holiday abroad. Still unsure whether I should laugh or cry or both,29.0,2.0,0.0,0.0,0.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
having mixed feelings about a bad situation.,Yesterday I got dumped on the phone after a 3 year long relationship while on holiday abroad. Still unsure whether I should laugh or cry or both,29.0,2.0,0.0,0.0,0.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
having mixed feelings about a bad situation.,Yesterday I got dumped on the phone after a 3 year long relationship while on holiday abroad. Still unsure whether I should laugh or cry or both,29.0,2.0,0.0,0.0,0.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
telling your friend to take a taxi home from the airport.,Ryan flew into Chicago and Sam picked him up from the airport.,29.0,0.0,-1.0,1.0,0.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
telling your friend to take a taxi home from the airport.,Ryan flew into Chicago and Sam picked him up from the airport.,29.0,0.0,-1.0,1.0,0.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
telling your friend to take a taxi home from the airport.,Ryan flew into Chicago and Sam picked him up from the airport.,29.0,0.0,-1.0,1.0,0.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
telling a partner how to dress.,breaking up with my gf because I don't like her way of dressing,29.0,-1.0,-1.0,-1.0,0.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
telling a partner how to dress.,breaking up with my gf because I don't like her way of dressing,29.0,-1.0,-1.0,-1.0,0.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
telling a partner how to dress.,breaking up with my gf because I don't like her way of dressing,29.0,-1.0,-1.0,-1.0,0.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
letting personal relationships get in the way of your relationship with family.,"Couple Kisses and Makes Up, but Family Tension Remains",29.0,0.0,-1.0,-1.0,-1.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
letting personal relationships get in the way of your relationship with family.,"Couple Kisses and Makes Up, but Family Tension Remains",29.0,0.0,-1.0,-1.0,-1.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
letting personal relationships get in the way of your relationship with family.,"Couple Kisses and Makes Up, but Family Tension Remains",29.0,0.0,-1.0,-1.0,-1.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
working hard.,He wasn't going to let that deter him.,29.0,1.0,1.0,1.0,1.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
working hard.,He wasn't going to let that deter him.,29.0,1.0,1.0,1.0,1.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
working hard.,He wasn't going to let that deter him.,29.0,1.0,1.0,1.0,1.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
having realistic expectations when you go to a nudist club.,Couple Confronts Stark Reality During Weekend at Nudist Club,29.0,2.0,0.0,0.0,0.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
having realistic expectations when you go to a nudist club.,Couple Confronts Stark Reality During Weekend at Nudist Club,29.0,2.0,0.0,0.0,0.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
having realistic expectations when you go to a nudist club.,Couple Confronts Stark Reality During Weekend at Nudist Club,29.0,2.0,0.0,0.0,0.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
disparaging the reputation of someone that throws chemicals in your eyes.,destroying my clasmmate reputation when he threw bleach at my right eye,29.0,1.0,0.0,0.0,-1.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
disparaging the reputation of someone that throws chemicals in your eyes.,destroying my clasmmate reputation when he threw bleach at my right eye,29.0,1.0,0.0,0.0,-1.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
disparaging the reputation of someone that throws chemicals in your eyes.,destroying my clasmmate reputation when he threw bleach at my right eye,29.0,1.0,0.0,0.0,-1.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
practicing hard to excel at one's hobby.,Serious Video Gamer Gets No Respect for Her Hobby,29.0,2.0,0.5,1.0,1.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
practicing hard to excel at one's hobby.,Serious Video Gamer Gets No Respect for Her Hobby,29.0,2.0,0.5,1.0,1.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
practicing hard to excel at one's hobby.,Serious Video Gamer Gets No Respect for Her Hobby,29.0,2.0,0.5,1.0,1.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
expecting people to always open up about themselves.,Im finally opening up.,29.0,-1.0,-0.6,-1.0,0.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
expecting people to always open up about themselves.,Im finally opening up.,29.0,-1.0,-0.6,-1.0,0.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
expecting people to always open up about themselves.,Im finally opening up.,29.0,-1.0,-0.6,-1.0,0.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
lying to people about your health.,I've faked a medical condition ever since I was 8 years old and gotten away with it,29.0,0.0,-1.0,-1.0,-1.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
lying to people about your health.,I've faked a medical condition ever since I was 8 years old and gotten away with it,29.0,0.0,-1.0,-1.0,-1.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
lying to people about your health.,I've faked a medical condition ever since I was 8 years old and gotten away with it,29.0,0.0,-1.0,-1.0,-1.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
having a potty mouth.,I swear as loud as I can when playing video games in my apartment.,29.0,0.0,-1.0,-1.0,-1.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
having a potty mouth.,I swear as loud as I can when playing video games in my apartment.,29.0,0.0,-1.0,-1.0,-1.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
having a potty mouth.,I swear as loud as I can when playing video games in my apartment.,29.0,0.0,-1.0,-1.0,-1.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
not thinking about someone's feeling or emotional well being.,telling this girl who contacts me (after not talking for years) that I have a girlfriend,29.0,-1.0,-1.3333333333333333,-1.0,-1.0,10-20,woman,asian,,high school,English-Speaking,English-Speaking,english
not thinking about someone's feeling or emotional well being.,telling this girl who contacts me (after not talking for years) that I have a girlfriend,29.0,-1.0,-1.3333333333333333,-1.0,-1.0,10-20,woman,pacific islander,,high school,English-Speaking,English-Speaking,english
not thinking about someone's feeling or emotional well being.,telling this girl who contacts me (after not talking for years) that I have a girlfriend,29.0,-1.0,-1.3333333333333333,-1.0,-1.0,10-20,woman,white,,high school,English-Speaking,English-Speaking,english
chewing people out.,He chewed me out for several minutes for not doing it.,30.0,-1.0,-1.0,-1.0,-1.0,20-30,man,,,college,Protestant-Europe,Protestant-Europe,not english
keeping things from kids.,Wife Conceals Late Husband's Feet of Clay for Sake of Kids,30.0,1.0,0.0,1.0,0.0,20-30,man,,,college,Protestant-Europe,Protestant-Europe,not english
finding communities that cater to your kinks.,I have a weird kink,30.0,0.0,0.0,0.0,0.0,20-30,man,,,college,Protestant-Europe,Protestant-Europe,not english
