original,translated,lang
lying to people about your health.,mentirle a la gente sobre su salud.,es
lying to people about your health.,mentir para as pessoas sobre sua saúde.,pt
being accepting of having a half-sibling,قبول وجود أخ غير شقيق,ar
being accepting of having a half-sibling,接受有同父异母的兄弟姐妹,zh-CN
being accepting of having a half-sibling,accepter d'avoir un demi-frère ou une demi-sœur,fr
being accepting of having a half-sibling,"akzeptieren, ein Halbgeschwister zu haben",de
being accepting of having a half-sibling,सौतेले भाई-बहन होने की बात स्वीकार करना,hi
being accepting of having a half-sibling,aceptar tener un medio hermano,es
being accepting of having a half-sibling,aceitar ter um meio-irmão,pt
biting your nails in public.,قضم أظافرك في الأماكن العامة.,ar
biting your nails in public.,在公共场合咬指甲。,zh-CN
biting your nails in public.,se ronger les ongles en public.,fr
biting your nails in public.,In der Öffentlichkeit an den Nägeln kauen.,de
biting your nails in public.,सार्वजनिक रूप से अपने नाखून चबाना।,hi
biting your nails in public.,morderse las uñas en público.,es
biting your nails in public.,roer as unhas em público.,pt
having mixed feelings about a bad situation.,وجود مشاعر مختلطة حول الوضع السيئ.,ar
having mixed feelings about a bad situation.,对糟糕的情况有复杂的感觉。,zh-CN
having mixed feelings about a bad situation.,avoir des sentiments mitigés face à une mauvaise situation.,fr
having mixed feelings about a bad situation.,gemischte Gefühle angesichts einer schlechten Situation haben.,de
having mixed feelings about a bad situation.,किसी बुरी स्थिति के बारे में मिश्रित भावनाएँ होना।,hi
having mixed feelings about a bad situation.,tener sentimientos encontrados acerca de una mala situación.,es
having mixed feelings about a bad situation.,tendo sentimentos confusos sobre uma situação ruim.,pt
disparaging the reputation of someone that throws chemicals in your eyes.,الاستهزاء بسمعة من يرمي المواد الكيميائية في عينيك.,ar
disparaging the reputation of someone that throws chemicals in your eyes.,贬低向你眼睛里扔化学物质的人的名誉。,zh-CN
disparaging the reputation of someone that throws chemicals in your eyes.,dénigrer la réputation de quelqu'un qui vous jette des produits chimiques dans les yeux.,fr
disparaging the reputation of someone that throws chemicals in your eyes.,"Den Ruf von jemandem herabwürdigen, der einem Chemikalien in die Augen wirft.",de
disparaging the reputation of someone that throws chemicals in your eyes.,किसी ऐसे व्यक्ति की प्रतिष्ठा को अपमानित करना जो आपकी आँखों में रसायन फेंकता है।,hi
disparaging the reputation of someone that throws chemicals in your eyes.,menospreciar la reputación de alguien que te arroja químicos a los ojos.,es
disparaging the reputation of someone that throws chemicals in your eyes.,menosprezar a reputação de alguém que joga produtos químicos em seus olhos.,pt
expecting people to always open up about themselves.,نتوقع من الناس أن ينفتحوا دائمًا على أنفسهم.,ar
expecting people to always open up about themselves.,期望人们总是敞开心扉谈论自己。,zh-CN
expecting people to always open up about themselves.,s'attendre à ce que les gens s'ouvrent toujours sur eux-mêmes.,fr
expecting people to always open up about themselves.,"Ich erwarte von den Menschen, dass sie sich immer offen mit sich selbst auseinandersetzen.",de
expecting people to always open up about themselves.,लोगों से अपेक्षा करना कि वे अपने बारे में हमेशा खुलकर बात करें।,hi
expecting people to always open up about themselves.,esperando que las personas siempre se abran sobre sí mismas.,es
expecting people to always open up about themselves.,esperando que as pessoas sempre se abram sobre si mesmas.,pt
keeping things from kids.,حفظ الأشياء عن الأطفال.,ar
keeping things from kids.,不让孩子接触东西。,zh-CN
keeping things from kids.,garder les choses hors de la portée des enfants.,fr
keeping things from kids.,Dinge von Kindern fernhalten.,de
keeping things from kids.,बच्चों से चीज़ें रखना.,hi
keeping things from kids.,ocultar cosas a los niños.,es
keeping things from kids.,escondendo coisas das crianças.,pt
feeling obligated to play host for your partner's ex.,الشعور بالالتزام بلعب دور المضيف لشريكك السابق.,ar
feeling obligated to play host for your partner's ex.,感觉有义务招待你伴侣的前任。,zh-CN
feeling obligated to play host for your partner's ex.,se sentir obligé d'héberger l'ex de votre partenaire.,fr
feeling obligated to play host for your partner's ex.,"Fühlen Sie sich verpflichtet, Gastgeber für den Ex Ihres Partners zu sein.",de
feeling obligated to play host for your partner's ex.,अपने साथी की पूर्व पत्नी की मेजबानी करने के लिए बाध्य महसूस करना।,hi
feeling obligated to play host for your partner's ex.,Sentirse obligado a ser el anfitrión del ex de su pareja.,es
feeling obligated to play host for your partner's ex.,sentindo-se obrigado a ser anfitrião do ex do seu parceiro.,pt
telling somebody how they should spend their money.,إخبار شخص ما كيف يجب أن ينفق أمواله.,ar
telling somebody how they should spend their money.,告诉某人应该如何花钱。,zh-CN
telling somebody how they should spend their money.,dire à quelqu'un comment il devrait dépenser son argent.,fr
telling somebody how they should spend their money.,"jemandem sagen, wofür er sein Geld ausgeben soll.",de
telling somebody how they should spend their money.,किसी को यह बताना कि उन्हें अपना पैसा कैसे खर्च करना चाहिए।,hi
telling somebody how they should spend their money.,decirle a alguien cómo debe gastar su dinero.,es
telling somebody how they should spend their money.,dizer a alguém como deveria gastar seu dinheiro.,pt
being offended when your partner doesn't want you cooking for their kids.,الشعور بالإهانة عندما لا يريد شريكك طهي الطعام لأطفاله.,ar
being offended when your partner doesn't want you cooking for their kids.,当你的伴侣不希望你为他们的孩子做饭时，你会感到被冒犯。,zh-CN
